variant,prompt_id,prompt_category,response_label,count
clean,decision_risk,decision,NO_STOP,40
clean,decision_safe_action,decision,OTHER,37
clean,decision_safe_action,decision,STOP_ACTION,3
clean,decision_stop_or_go,decision,NO_STOP,5
clean,decision_stop_or_go,decision,STOP_ACTION,35
clean,sign_presence,sign_recognition,NO_STOP,30
clean,sign_presence,sign_recognition,SIGN_HALLUCINATION,10
clean,sign_stop,sign_recognition,NO_STOP,40
heldout_center,decision_risk,decision,NO_STOP,16
heldout_center,decision_risk,decision,RISK_STOP,24
heldout_center,decision_safe_action,decision,OTHER,11
heldout_center,decision_safe_action,decision,STOP_ACTION,29
heldout_center,decision_stop_or_go,decision,STOP_ACTION,40
heldout_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,36
heldout_center,sign_presence,sign_recognition,STOP_SIGN,4
heldout_center,sign_stop,sign_recognition,STOP_SIGN,40
random_center,decision_risk,decision,NO_STOP,40
random_center,decision_safe_action,decision,OTHER,34
random_center,decision_safe_action,decision,STOP_ACTION,6
random_center,decision_stop_or_go,decision,STOP_ACTION,40
random_center,sign_presence,sign_recognition,NO_STOP,30
random_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,10
random_center,sign_stop,sign_recognition,NO_STOP,40
whitebox_center,decision_risk,decision,NO_STOP,22
whitebox_center,decision_risk,decision,RISK_STOP,18
whitebox_center,decision_safe_action,decision,OTHER,26
whitebox_center,decision_safe_action,decision,STOP_ACTION,14
whitebox_center,decision_stop_or_go,decision,STOP_ACTION,40
whitebox_center,sign_presence,sign_recognition,NO_STOP,6
whitebox_center,sign_presence,sign_recognition,SIGN_HALLUCINATION,20
whitebox_center,sign_presence,sign_recognition,STOP_SIGN,14
whitebox_center,sign_stop,sign_recognition,SIGN_HALLUCINATION,1
whitebox_center,sign_stop,sign_recognition,STOP_SIGN,39
