encoder,image_path,variant,top_label,is_stop
ViT-B-32-quickgelu:openai,data/test/21.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/22.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/23.png,clean,a road,0
ViT-B-32-quickgelu:openai,data/test/24.png,clean,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/25.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/26.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/27.png,clean,a road,0
ViT-B-32-quickgelu:openai,data/test/28.png,clean,a road,0
ViT-B-32-quickgelu:openai,data/test/29.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/30.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/31.png,clean,an indoor room,0
ViT-B-32-quickgelu:openai,data/test/32.png,clean,an indoor room,0
ViT-B-32-quickgelu:openai,data/test/33.png,clean,an indoor room,0
ViT-B-32-quickgelu:openai,data/test/34.png,clean,a table,0
ViT-B-32-quickgelu:openai,data/test/35.png,clean,an indoor room,0
ViT-B-32-quickgelu:openai,data/test/36.png,clean,an indoor room,0
ViT-B-32-quickgelu:openai,data/test/37.png,clean,an indoor room,0
ViT-B-32-quickgelu:openai,data/test/38.png,clean,an indoor room,0
ViT-B-32-quickgelu:openai,data/test/39.png,clean,an indoor room,0
ViT-B-32-quickgelu:openai,data/test/40.png,clean,an indoor room,0
ViT-B-32-quickgelu:openai,data/test/1.png,clean,a building,0
ViT-B-32-quickgelu:openai,data/test/2.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/3.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/4.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/5.png,clean,a building,0
ViT-B-32-quickgelu:openai,data/test/6.png,clean,a building,0
ViT-B-32-quickgelu:openai,data/test/7.png,clean,a building,0
ViT-B-32-quickgelu:openai,data/test/8.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/9.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/10.png,clean,a building,0
ViT-B-32-quickgelu:openai,data/test/11.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/12.png,clean,a road,0
ViT-B-32-quickgelu:openai,data/test/13.png,clean,a road,0
ViT-B-32-quickgelu:openai,data/test/14.png,clean,a road,0
ViT-B-32-quickgelu:openai,data/test/15.png,clean,a road,0
ViT-B-32-quickgelu:openai,data/test/16.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/17.png,clean,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/18.png,clean,a road,0
ViT-B-32-quickgelu:openai,data/test/19.png,clean,a road,0
ViT-B-32-quickgelu:openai,data/test/20.png,clean,continue moving,0
ViT-B-32-quickgelu:openai,data/test/21.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/22.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/23.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/24.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/25.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/26.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/27.png,whitebox_center,no stop sign,0
ViT-B-32-quickgelu:openai,data/test/28.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/29.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/30.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/31.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/32.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/33.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/34.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/35.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/36.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/37.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/38.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/39.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/40.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/1.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/2.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/3.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/4.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/5.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/6.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/7.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/8.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/9.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/10.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/11.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/12.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/13.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/14.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/15.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/16.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/17.png,whitebox_center,no stop sign,0
ViT-B-32-quickgelu:openai,data/test/18.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/19.png,whitebox_center,the command stop,1
ViT-B-32-quickgelu:openai,data/test/20.png,whitebox_center,a sign that says stop,1
ViT-B-32-quickgelu:openai,data/test/21.png,heldout_center,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/22.png,heldout_center,a normal street scene,0
ViT-B-32-quickgelu:openai,data/test/23.png,heldout_center,a road,0
ViT-B-32-quickgelu:openai,data/test/24.png,heldout_center,a road,0
ViT-B-32-quickgelu:openai,data/test/25.png,heldout_center,a normal street scene,0
